danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_uri,artist,track_uri,track_name,artist_genres
0.736,0.945,0,-0.751,1,0.145,0.0176,0.00486,0.315,0.391,149.901,spotify:artist:25oLRSUjJk4YHNUsQXk7Ut,GRiZ,spotify:track:6e2kwYm4qe4hFbOkLm4nbF,Vibe Check,"['edm', 'electronic trap', 'electropop', 'jamtronica', 'jazztronica', 'livetronica']"
0.503,0.601,6,-9.037,1,0.0386,0.00308,0.316,0.628,0.622,86.905,spotify:artist:6XYvaoDGE0VmRt83Jss9Sn,King Gizzard & The Lizard Wizard,spotify:track:6nmufQUcWf9MTXTKXoGLzI,Pleura,"['australian indie', 'australian psych', 'double drumming', 'neo-psychedelic']"
0.542,0.445,2,-14.567,1,0.354,0.34,0.0,0.0755,0.452,131.011,spotify:artist:3gIWD9hK0VEhgsSrLu19PU,YN Jay,spotify:track:2rWLNJ8DUruJ7gnuYifR5H,Coochie Growl,"['flint hip hop', 'viral rap']"
0.779,0.714,1,-6.707,1,0.0949,0.561,0.0129,0.112,0.481,89.973,spotify:artist:16rCzZOMQX7P8Kmn5YKexI,Mahalia,spotify:track:0IIn18QlxCeUpLPRaR6a7K,Jealous (feat. Rico Nasty),"['alternative r&b', 'dance pop', 'indie anthem-folk', 'indie soul', 'pop', 'r&b', 'uk contemporary r&b']"
0.758,0.596,4,-8.506,1,0.0566,0.00975,0.0,0.105,0.831,99.944,spotify:artist:6jTnHxhb6cDCaCu4rdvsQ0,Hot Chelle Rae,spotify:track:53jMpeMc7r0cjAEx2SDIYC,Tonight Tonight (10th Anniversary remastered version),"['dance pop', 'neo mellow', 'neon pop punk', 'pop', 'pop punk', 'pop rock', 'post-teen pop', 'viral pop']"
0.827,0.394,11,-10.073,1,0.559,0.253,0.0,0.12,0.715,157.0,spotify:artist:6AMd49uBDJfhf30Ak2QR5s,Coi Leray,spotify:track:5A4WcRuy0FFEAC5pAK43oa,No More Parties (Remix),"['pop r&b', 'trap queen']"
0.572,0.618,7,-12.063,1,0.0826,0.635,0.322,0.351,0.208,169.409,spotify:artist:5FsfZj0Mp6YwEWytuJUcWt,Jinsang,spotify:track:0uvJXQeZs4IAOIraB5jrYE,Summer's Day,"['chillhop', 'focus beats', 'japanese chillhop', 'korean r&b', 'lo-fi beats']"
0.803,0.695,6,-9.14,0,0.434,0.0223,0.0,0.175,0.737,106.844,spotify:artist:2gGtD7OGXbNZAY3oCZvZqA,Rob Vicious,spotify:track:780tuCSMMY6f8hhzO4Nziy,Poppin,['cali rap']
0.291,0.599,7,-5.05,1,0.0384,0.000171,0.00463,0.0771,0.4,79.063,spotify:artist:78SHxLdtysAXgywQ4vE0Oa,Bush,spotify:track:2AvSxCaYYZEEWynIQ9ceDd,American Eyes,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']"
0.707,0.6,2,-8.537,1,0.0524,0.718,1.91e-05,0.127,0.21,123.012,spotify:artist:5AtWO8IEnjhRLzaVVQxFUs,SoMo,spotify:track:0xFo2AVkTPFurYLn1MxmW3,Boom,"['dance pop', 'pop', 'pop r&b', 'post-teen pop', 'r&b']"
